timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1543813754614,307,HTTP Request,200,OK,Users 1-4,text,true,,8193,232,34,34,http://localhost:9292/,58,0,0
1543813754614,59,HTTP Request-0,302,Found,Users 1-4,text,true,,842,118,34,34,http://localhost:9292/cars,58,0,0
1543813754673,248,HTTP Request-1,200,OK,Users 1-4,text,true,,7351,114,34,34,http://localhost:9292/,246,0,0
1543813754580,343,HTTP Request,200,OK,Users 1-1,text,true,,8209,232,34,34,http://localhost:9292/,43,0,0
1543813754580,44,HTTP Request-0,302,Found,Users 1-1,text,true,,856,118,34,34,http://localhost:9292/cars,43,0,0
1543813754624,299,HTTP Request-1,200,OK,Users 1-1,text,true,,7353,114,34,34,http://localhost:9292/,296,0,0
1543813754624,300,HTTP Request,200,OK,Users 1-5,text,true,,8179,232,34,34,http://localhost:9292/,56,0,0
1543813754591,333,HTTP Request,200,OK,Users 1-2,text,true,,8187,232,34,34,http://localhost:9292/,32,0,0
1543813754624,60,HTTP Request-0,302,Found,Users 1-5,text,true,,832,118,34,34,http://localhost:9292/cars,56,0,0
1543813754591,32,HTTP Request-0,302,Found,Users 1-2,text,true,,842,118,34,34,http://localhost:9292/cars,32,0,0
1543813754684,240,HTTP Request-1,200,OK,Users 1-5,text,true,,7347,114,34,34,http://localhost:9292/,239,0,0
1543813754623,301,HTTP Request-1,200,OK,Users 1-2,text,true,,7345,114,34,34,http://localhost:9292/,300,0,0
1543813754602,323,HTTP Request,200,OK,Users 1-3,text,true,,8205,232,34,34,http://localhost:9292/,55,0,0
1543813754602,60,HTTP Request-0,302,Found,Users 1-3,text,true,,842,118,34,34,http://localhost:9292/cars,55,0,0
1543813754662,263,HTTP Request-1,200,OK,Users 1-3,text,true,,7363,114,34,34,http://localhost:9292/,263,0,0
1543813754635,576,HTTP Request,200,OK,Users 1-6,text,true,,8193,232,62,62,http://localhost:9292/,329,0,0
1543813754635,330,HTTP Request-0,302,Found,Users 1-6,text,true,,846,118,62,62,http://localhost:9292/cars,329,0,0
1543813754965,246,HTTP Request-1,200,OK,Users 1-6,text,true,,7347,114,62,62,http://localhost:9292/,242,0,0
1543813754666,550,HTTP Request,200,OK,Users 1-9,text,true,,8195,232,62,62,http://localhost:9292/,314,0,0
1543813754666,314,HTTP Request-0,302,Found,Users 1-9,text,true,,838,118,62,62,http://localhost:9292/cars,314,0,0
1543813754980,236,HTTP Request-1,200,OK,Users 1-9,text,true,,7357,114,62,62,http://localhost:9292/,235,0,0
1543813754646,571,HTTP Request,200,OK,Users 1-7,text,true,,8203,232,63,63,http://localhost:9292/,321,0,0
1543813754646,322,HTTP Request-0,302,Found,Users 1-7,text,true,,848,118,63,63,http://localhost:9292/cars,321,0,0
1543813754968,249,HTTP Request-1,200,OK,Users 1-7,text,true,,7355,114,63,63,http://localhost:9292/,247,0,0
1543813754653,604,HTTP Request,200,OK,Users 1-8,text,true,,8195,232,66,66,http://localhost:9292/,329,0,0
1543813754653,331,HTTP Request-0,302,Found,Users 1-8,text,true,,838,118,66,66,http://localhost:9292/cars,329,0,0
1543813754984,273,HTTP Request-1,200,OK,Users 1-8,text,true,,7357,114,66,66,http://localhost:9292/,272,0,0
1543813754674,584,HTTP Request,200,OK,Users 1-10,text,true,,8191,232,67,67,http://localhost:9292/,312,0,0
1543813754674,312,HTTP Request-0,302,Found,Users 1-10,text,true,,838,118,67,67,http://localhost:9292/cars,312,0,0
1543813754986,272,HTTP Request-1,200,OK,Users 1-10,text,true,,7353,114,67,67,http://localhost:9292/,271,0,0
1543813754686,838,HTTP Request,200,OK,Users 1-11,text,true,,8193,232,92,92,http://localhost:9292/,571,0,0
1543813754686,571,HTTP Request-0,302,Found,Users 1-11,text,true,,848,118,92,92,http://localhost:9292/cars,571,0,0
1543813755257,267,HTTP Request-1,200,OK,Users 1-11,text,true,,7345,114,92,92,http://localhost:9292/,266,0,0
1543813754696,829,HTTP Request,200,OK,Users 1-12,text,true,,8199,232,92,92,http://localhost:9292/,562,0,1
1543813754696,562,HTTP Request-0,302,Found,Users 1-12,text,true,,850,118,92,92,http://localhost:9292/cars,562,0,1
1543813755258,267,HTTP Request-1,200,OK,Users 1-12,text,true,,7349,114,92,92,http://localhost:9292/,265,0,0
1543813754706,823,HTTP Request,200,OK,Users 1-13,text,true,,8189,232,93,93,http://localhost:9292/,559,0,0
1543813754706,565,HTTP Request-0,302,Found,Users 1-13,text,true,,840,118,93,93,http://localhost:9292/cars,559,0,0
1543813755271,258,HTTP Request-1,200,OK,Users 1-13,text,true,,7349,114,93,93,http://localhost:9292/,257,0,0
1543813754716,841,HTTP Request,200,OK,Users 1-14,text,true,,8175,232,95,95,http://localhost:9292/,609,0,0
1543813754716,610,HTTP Request-0,302,Found,Users 1-14,text,true,,834,118,95,95,http://localhost:9292/cars,609,0,0
1543813755326,231,HTTP Request-1,200,OK,Users 1-14,text,true,,7341,114,95,95,http://localhost:9292/,226,0,0
1543813754729,831,HTTP Request,200,OK,Users 1-15,text,true,,8189,232,96,96,http://localhost:9292/,599,0,1
1543813754729,603,HTTP Request-0,302,Found,Users 1-15,text,true,,840,118,96,96,http://localhost:9292/cars,599,0,1
1543813755332,228,HTTP Request-1,200,OK,Users 1-15,text,true,,7349,114,96,96,http://localhost:9292/,225,0,0
1543813754747,1055,HTTP Request,200,OK,Users 1-17,text,true,,8195,232,100,100,http://localhost:9292/,824,0,0
1543813754747,824,HTTP Request-0,302,Found,Users 1-17,text,true,,844,118,100,100,http://localhost:9292/cars,824,0,0
1543813755571,231,HTTP Request-1,200,OK,Users 1-17,text,true,,7351,114,100,100,http://localhost:9292/,228,0,0
1543813754735,1076,HTTP Request,200,OK,Users 1-16,text,true,,8197,232,100,100,http://localhost:9292/,829,0,0
1543813754735,829,HTTP Request-0,302,Found,Users 1-16,text,true,,848,118,100,100,http://localhost:9292/cars,829,0,0
1543813755564,247,HTTP Request-1,200,OK,Users 1-16,text,true,,7349,114,100,100,http://localhost:9292/,246,0,0
1543813754755,1074,HTTP Request,200,OK,Users 1-18,text,true,,8195,232,100,100,http://localhost:9292/,816,0,0
1543813754755,816,HTTP Request-0,302,Found,Users 1-18,text,true,,844,118,100,100,http://localhost:9292/cars,816,0,0
1543813755571,258,HTTP Request-1,200,OK,Users 1-18,text,true,,7351,114,100,100,http://localhost:9292/,258,0,0
1543813754766,1079,HTTP Request,200,OK,Users 1-19,text,true,,8197,232,100,100,http://localhost:9292/,852,0,0
1543813754766,852,HTTP Request-0,302,Found,Users 1-19,text,true,,844,118,100,100,http://localhost:9292/cars,852,0,0
1543813755618,227,HTTP Request-1,200,OK,Users 1-19,text,true,,7353,114,100,100,http://localhost:9292/,227,0,0
1543813754776,1100,HTTP Request,200,OK,Users 1-20,text,true,,8195,232,100,100,http://localhost:9292/,842,0,1
1543813754776,843,HTTP Request-0,302,Found,Users 1-20,text,true,,840,118,100,100,http://localhost:9292/cars,842,0,1
1543813755619,257,HTTP Request-1,200,OK,Users 1-20,text,true,,7355,114,100,100,http://localhost:9292/,249,0,0
1543813754787,1281,HTTP Request,200,OK,Users 1-21,text,true,,8191,232,100,100,http://localhost:9292/,1056,0,0
1543813754787,1058,HTTP Request-0,302,Found,Users 1-21,text,true,,848,118,100,100,http://localhost:9292/cars,1056,0,0
1543813755845,223,HTTP Request-1,200,OK,Users 1-21,text,true,,7343,114,100,100,http://localhost:9292/,218,0,0
1543813754806,1332,HTTP Request,200,OK,Users 1-23,text,true,,8195,232,100,100,http://localhost:9292/,1092,0,0
1543813754806,1101,HTTP Request-0,302,Found,Users 1-23,text,true,,844,118,100,100,http://localhost:9292/cars,1092,0,0
