timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1543813772382,979,HTTP Request,200,OK,Car Testers 1-1,text,true,,8199,232,49,49,http://localhost:9292/,78,0,1
1543813772382,88,HTTP Request-0,302,Found,Car Testers 1-1,text,true,,838,118,49,49,http://localhost:9292/cars,78,0,1
1543813772470,891,HTTP Request-1,200,OK,Car Testers 1-1,text,true,,7361,114,49,49,http://localhost:9292/,888,0,0
1543813772403,1013,HTTP Request,200,OK,Car Testers 1-2,text,true,,8203,232,50,50,http://localhost:9292/,133,0,0
1543813772403,158,HTTP Request-0,302,Found,Car Testers 1-2,text,true,,846,118,50,50,http://localhost:9292/cars,133,0,0
1543813772561,855,HTTP Request-1,200,OK,Car Testers 1-2,text,true,,7357,114,50,50,http://localhost:9292/,854,0,0
1543813772423,1007,HTTP Request,200,OK,Car Testers 1-3,text,true,,8193,232,50,50,http://localhost:9292/,292,0,0
1543813772423,292,HTTP Request-0,302,Found,Car Testers 1-3,text,true,,844,118,50,50,http://localhost:9292/cars,292,0,0
1543813772715,715,HTTP Request-1,200,OK,Car Testers 1-3,text,true,,7349,114,50,50,http://localhost:9292/,713,0,0
1543813772442,1022,HTTP Request,200,OK,Car Testers 1-4,text,true,,8195,232,50,50,http://localhost:9292/,291,0,1
1543813772442,291,HTTP Request-0,302,Found,Car Testers 1-4,text,true,,842,118,50,50,http://localhost:9292/cars,291,0,1
1543813772733,731,HTTP Request-1,200,OK,Car Testers 1-4,text,true,,7353,114,50,50,http://localhost:9292/,705,0,0
1543813772462,1058,HTTP Request,200,OK,Car Testers 1-5,text,true,,8197,232,50,50,http://localhost:9292/,290,0,1
1543813772462,291,HTTP Request-0,302,Found,Car Testers 1-5,text,true,,844,118,50,50,http://localhost:9292/cars,290,0,1
1543813772753,767,HTTP Request-1,200,OK,Car Testers 1-5,text,true,,7353,114,50,50,http://localhost:9292/,749,0,0
1543813772483,1836,HTTP Request,200,OK,Car Testers 1-6,text,true,,8201,232,50,50,http://localhost:9292/,941,0,0
1543813772483,944,HTTP Request-0,302,Found,Car Testers 1-6,text,true,,850,118,50,50,http://localhost:9292/cars,941,0,0
1543813773427,892,HTTP Request-1,200,OK,Car Testers 1-6,text,true,,7351,114,50,50,http://localhost:9292/,889,0,0
1543813772503,1994,HTTP Request,200,OK,Car Testers 1-7,text,true,,8199,232,50,50,http://localhost:9292/,1138,0,0
1543813772503,1139,HTTP Request-0,302,Found,Car Testers 1-7,text,true,,848,118,50,50,http://localhost:9292/cars,1138,0,0
1543813773643,854,HTTP Request-1,200,OK,Car Testers 1-7,text,true,,7351,114,50,50,http://localhost:9292/,837,0,0
1543813772522,1991,HTTP Request,200,OK,Car Testers 1-8,text,true,,8191,232,50,50,http://localhost:9292/,1196,0,1
1543813772522,1197,HTTP Request-0,302,Found,Car Testers 1-8,text,true,,836,118,50,50,http://localhost:9292/cars,1196,0,1
1543813773719,794,HTTP Request-1,200,OK,Car Testers 1-8,text,true,,7355,114,50,50,http://localhost:9292/,778,0,0
1543813772543,1974,HTTP Request,200,OK,Car Testers 1-9,text,true,,8201,232,50,50,http://localhost:9292/,1176,0,0
1543813772543,1178,HTTP Request-0,302,Found,Car Testers 1-9,text,true,,852,118,50,50,http://localhost:9292/cars,1176,0,0
1543813773721,796,HTTP Request-1,200,OK,Car Testers 1-9,text,true,,7349,114,50,50,http://localhost:9292/,793,0,0
