timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1543814114222,242,HTTP Request,200,OK,Users 1-2,text,true,,8187,232,13,13,http://localhost:9292/,18,0,0
1543814114222,18,HTTP Request-0,302,Found,Users 1-2,text,true,,842,118,13,13,http://localhost:9292/cars,18,0,0
1543814114240,224,HTTP Request-1,200,OK,Users 1-2,text,true,,7345,114,13,13,http://localhost:9292/,224,0,0
1543814114201,267,HTTP Request,200,OK,Users 1-1,text,true,,8187,232,14,14,http://localhost:9292/,15,0,1
1543814114201,15,HTTP Request-0,302,Found,Users 1-1,text,true,,844,118,14,14,http://localhost:9292/cars,15,0,1
1543814114216,252,HTTP Request-1,200,OK,Users 1-1,text,true,,7343,114,14,14,http://localhost:9292/,247,0,0
1543814114239,288,HTTP Request,200,OK,Users 1-3,text,true,,8195,232,17,17,http://localhost:9292/,33,0,1
1543814114239,35,HTTP Request-0,302,Found,Users 1-3,text,true,,840,118,17,17,http://localhost:9292/cars,33,0,1
1543814114274,253,HTTP Request-1,200,OK,Users 1-3,text,true,,7355,114,17,17,http://localhost:9292/,249,0,0
1543814114264,330,HTTP Request,200,OK,Users 1-4,text,true,,8185,232,20,20,http://localhost:9292/,54,0,0
1543814114264,57,HTTP Request-0,302,Found,Users 1-4,text,true,,834,118,20,20,http://localhost:9292/cars,54,0,0
1543814114321,273,HTTP Request-1,200,OK,Users 1-4,text,true,,7351,114,20,20,http://localhost:9292/,266,0,0
1543814114284,329,HTTP Request,200,OK,Users 1-5,text,true,,8185,232,21,21,http://localhost:9292/,67,0,0
1543814114284,78,HTTP Request-0,302,Found,Users 1-5,text,true,,836,118,21,21,http://localhost:9292/cars,67,0,0
1543814114362,251,HTTP Request-1,200,OK,Users 1-5,text,true,,7349,114,21,21,http://localhost:9292/,250,0,0
1543814114303,437,HTTP Request,200,OK,Users 1-6,text,true,,8187,232,27,27,http://localhost:9292/,195,0,1
1543814114303,203,HTTP Request-0,302,Found,Users 1-6,text,true,,840,118,27,27,http://localhost:9292/cars,195,0,1
1543814114506,234,HTTP Request-1,200,OK,Users 1-6,text,true,,7347,114,27,27,http://localhost:9292/,232,0,0
1543814114324,430,HTTP Request,200,OK,Users 1-7,text,true,,8193,232,28,28,http://localhost:9292/,197,0,1
