timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1543813589676,318,HTTP Request,200,OK,Users 1-2,text,true,,8187,232,17,17,http://localhost:9292/,23,0,1
1543813589676,24,HTTP Request-0,302,Found,Users 1-2,text,true,,840,118,17,17,http://localhost:9292/cars,23,0,1
1543813589700,294,HTTP Request-1,200,OK,Users 1-2,text,true,,7347,114,17,17,http://localhost:9292/,292,0,0
1543813589656,339,HTTP Request,200,OK,Users 1-1,text,true,,8187,232,17,17,http://localhost:9292/,31,0,2
1543813589656,31,HTTP Request-0,302,Found,Users 1-1,text,true,,842,118,17,17,http://localhost:9292/cars,31,0,2
1543813589688,307,HTTP Request-1,200,OK,Users 1-1,text,true,,7345,114,17,17,http://localhost:9292/,305,0,0
1543813589699,309,HTTP Request,200,OK,Users 1-3,text,true,,8209,232,18,18,http://localhost:9292/,47,0,0
1543813589699,62,HTTP Request-0,302,Found,Users 1-3,text,true,,846,118,18,18,http://localhost:9292/cars,47,0,0
1543813589761,247,HTTP Request-1,200,OK,Users 1-3,text,true,,7363,114,18,18,http://localhost:9292/,244,0,0
1543813589740,274,HTTP Request,200,OK,Users 1-5,text,true,,8205,232,18,18,http://localhost:9292/,64,0,1
1543813589740,70,HTTP Request-0,302,Found,Users 1-5,text,true,,844,118,18,18,http://localhost:9292/cars,64,0,1
1543813589810,204,HTTP Request-1,200,OK,Users 1-5,text,true,,7361,114,18,18,http://localhost:9292/,204,0,0
1543813589718,297,HTTP Request,200,OK,Users 1-4,text,true,,8193,232,18,18,http://localhost:9292/,72,0,0
1543813589718,76,HTTP Request-0,302,Found,Users 1-4,text,true,,842,118,18,18,http://localhost:9292/cars,72,0,0
1543813589794,221,HTTP Request-1,200,OK,Users 1-4,text,true,,7351,114,18,18,http://localhost:9292/,214,0,0
1543813589760,474,HTTP Request,200,OK,Users 1-6,text,true,,8205,232,29,29,http://localhost:9292/,285,0,1
1543813589760,285,HTTP Request-0,302,Found,Users 1-6,text,true,,850,118,29,29,http://localhost:9292/cars,285,0,1
1543813590045,189,HTTP Request-1,200,OK,Users 1-6,text,true,,7355,114,29,29,http://localhost:9292/,173,0,0
1543813589778,559,HTTP Request,200,OK,Users 1-7,text,true,,8201,232,34,34,http://localhost:9292/,268,0,1
1543813589778,271,HTTP Request-0,302,Found,Users 1-7,text,true,,844,118,34,34,http://localhost:9292/cars,268,0,1
1543813590049,288,HTTP Request-1,200,OK,Users 1-7,text,true,,7357,114,34,34,http://localhost:9292/,287,0,0
1543813589800,540,HTTP Request,200,OK,Users 1-8,text,true,,8191,232,34,34,http://localhost:9292/,257,0,0
1543813589800,257,HTTP Request-0,302,Found,Users 1-8,text,true,,836,118,34,34,http://localhost:9292/cars,257,0,0
1543813590057,283,HTTP Request-1,200,OK,Users 1-8,text,true,,7355,114,34,34,http://localhost:9292/,280,0,0
1543813589842,500,HTTP Request,200,OK,Users 1-10,text,true,,8193,232,34,34,http://localhost:9292/,229,0,0
1543813589842,234,HTTP Request-0,302,Found,Users 1-10,text,true,,842,118,34,34,http://localhost:9292/cars,229,0,0
1543813590076,266,HTTP Request-1,200,OK,Users 1-10,text,true,,7351,114,34,34,http://localhost:9292/,262,0,0
1543813589821,524,HTTP Request,200,OK,Users 1-9,text,true,,8201,232,34,34,http://localhost:9292/,250,0,1
1543813589821,255,HTTP Request-0,302,Found,Users 1-9,text,true,,848,118,34,34,http://localhost:9292/cars,250,0,1
1543813590076,269,HTTP Request-1,200,OK,Users 1-9,text,true,,7353,114,34,34,http://localhost:9292/,268,0,0
1543813589861,612,HTTP Request,200,OK,Users 1-11,text,true,,8205,232,41,41,http://localhost:9292/,424,0,1
1543813589861,424,HTTP Request-0,302,Found,Users 1-11,text,true,,854,118,41,41,http://localhost:9292/cars,424,0,1
1543813590285,188,HTTP Request-1,200,OK,Users 1-11,text,true,,7351,114,41,41,http://localhost:9292/,187,0,0
1543813589939,720,HTTP Request,200,OK,Users 1-15,text,true,,8201,232,50,50,http://localhost:9292/,473,0,1
1543813589939,480,HTTP Request-0,302,Found,Users 1-15,text,true,,846,118,50,50,http://localhost:9292/cars,473,0,1
1543813590419,240,HTTP Request-1,200,OK,Users 1-15,text,true,,7355,114,50,50,http://localhost:9292/,239,0,0
1543813589883,779,HTTP Request,200,OK,Users 1-12,text,true,,8185,232,50,50,http://localhost:9292/,510,0,0
1543813589883,511,HTTP Request-0,302,Found,Users 1-12,text,true,,832,118,50,50,http://localhost:9292/cars,510,0,0
1543813590394,268,HTTP Request-1,200,OK,Users 1-12,text,true,,7353,114,50,50,http://localhost:9292/,268,0,0
1543813589901,766,HTTP Request,200,OK,Users 1-13,text,true,,8179,232,50,50,http://localhost:9292/,494,0,1
1543813589901,499,HTTP Request-0,302,Found,Users 1-13,text,true,,836,118,50,50,http://localhost:9292/cars,494,0,1
1543813590400,267,HTTP Request-1,200,OK,Users 1-13,text,true,,7343,114,50,50,http://localhost:9292/,266,0,0
1543813589919,749,HTTP Request,200,OK,Users 1-14,text,true,,8181,232,50,50,http://localhost:9292/,483,0,1
1543813589919,492,HTTP Request-0,302,Found,Users 1-14,text,true,,838,118,50,50,http://localhost:9292/cars,483,0,1
1543813590412,256,HTTP Request-1,200,OK,Users 1-14,text,true,,7343,114,50,50,http://localhost:9292/,254,0,0
1543813589962,757,HTTP Request,200,OK,Users 1-16,text,true,,8187,232,50,50,http://localhost:9292/,571,0,0
1543813589962,577,HTTP Request-0,302,Found,Users 1-16,text,true,,842,118,50,50,http://localhost:9292/cars,571,0,0
1543813590540,179,HTTP Request-1,200,OK,Users 1-16,text,true,,7345,114,50,50,http://localhost:9292/,179,0,0
1543813589980,978,HTTP Request,200,OK,Users 1-17,text,true,,8193,232,50,50,http://localhost:9292/,729,0,1
1543813589980,730,HTTP Request-0,302,Found,Users 1-17,text,true,,844,118,50,50,http://localhost:9292/cars,729,0,1
1543813590710,248,HTTP Request-1,200,OK,Users 1-17,text,true,,7349,114,50,50,http://localhost:9292/,244,0,0
