timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1543813272401,923,HTTP Request,200,OK,Car Testers 1-1,text,true,,8195,232,19,19,http://localhost:9292/,41,0,0
1543813272401,41,HTTP Request-0,302,Found,Car Testers 1-1,text,true,,840,118,19,19,http://localhost:9292/cars,41,0,0
1543813272442,882,HTTP Request-1,200,OK,Car Testers 1-1,text,true,,7355,114,19,19,http://localhost:9292/,867,0,0
1543813272450,1015,HTTP Request,200,OK,Car Testers 1-2,text,true,,8197,232,20,20,http://localhost:9292/,171,0,1
1543813272450,171,HTTP Request-0,302,Found,Car Testers 1-2,text,true,,852,118,20,20,http://localhost:9292/cars,171,0,1
1543813272621,844,HTTP Request-1,200,OK,Car Testers 1-2,text,true,,7345,114,20,20,http://localhost:9292/,822,0,0
1543813272500,1052,HTTP Request,200,OK,Car Testers 1-3,text,true,,8187,232,20,20,http://localhost:9292/,231,0,1
1543813272500,248,HTTP Request-0,302,Found,Car Testers 1-3,text,true,,838,118,20,20,http://localhost:9292/cars,231,0,1
1543813272748,804,HTTP Request-1,200,OK,Car Testers 1-3,text,true,,7349,114,20,20,http://localhost:9292/,772,0,0
1543813272550,1035,HTTP Request,200,OK,Car Testers 1-4,text,true,,8203,232,20,20,http://localhost:9292/,263,0,1
1543813272550,282,HTTP Request-0,302,Found,Car Testers 1-4,text,true,,848,118,20,20,http://localhost:9292/cars,263,0,1
1543813272832,753,HTTP Request-1,200,OK,Car Testers 1-4,text,true,,7355,114,20,20,http://localhost:9292/,745,0,0
1543813272600,1038,HTTP Request,200,OK,Car Testers 1-5,text,true,,8195,232,20,20,http://localhost:9292/,242,0,1
1543813272600,244,HTTP Request-0,302,Found,Car Testers 1-5,text,true,,846,118,20,20,http://localhost:9292/cars,242,0,1
1543813272844,794,HTTP Request-1,200,OK,Car Testers 1-5,text,true,,7349,114,20,20,http://localhost:9292/,763,0,0
1543813272651,1650,HTTP Request,200,OK,Car Testers 1-6,text,true,,8195,232,20,20,http://localhost:9292/,762,0,1
1543813272651,764,HTTP Request-0,302,Found,Car Testers 1-6,text,true,,838,118,20,20,http://localhost:9292/cars,762,0,1
1543813273415,886,HTTP Request-1,200,OK,Car Testers 1-6,text,true,,7357,114,20,20,http://localhost:9292/,881,0,0
1543813272701,1836,HTTP Request,200,OK,Car Testers 1-7,text,true,,8187,232,20,20,http://localhost:9292/,947,0,1
1543813272701,968,HTTP Request-0,302,Found,Car Testers 1-7,text,true,,844,118,20,20,http://localhost:9292/cars,947,0,1
1543813273669,868,HTTP Request-1,200,OK,Car Testers 1-7,text,true,,7343,114,20,20,http://localhost:9292/,865,0,0
1543813272751,1857,HTTP Request,200,OK,Car Testers 1-8,text,true,,8185,232,20,20,http://localhost:9292/,942,0,0
1543813272751,961,HTTP Request-0,302,Found,Car Testers 1-8,text,true,,834,118,20,20,http://localhost:9292/cars,942,0,0
1543813273712,896,HTTP Request-1,200,OK,Car Testers 1-8,text,true,,7351,114,20,20,http://localhost:9292/,872,0,0
1543813272802,1825,HTTP Request,200,OK,Car Testers 1-9,text,true,,8185,232,20,20,http://localhost:9292/,1054,0,0
1543813272802,1056,HTTP Request-0,302,Found,Car Testers 1-9,text,true,,836,118,20,20,http://localhost:9292/cars,1054,0,0
1543813273859,768,HTTP Request-1,200,OK,Car Testers 1-9,text,true,,7349,114,20,20,http://localhost:9292/,766,0,0
1543813272852,1810,HTTP Request,200,OK,Car Testers 1-10,text,true,,8183,232,20,20,http://localhost:9292/,1055,0,0
1543813272852,1073,HTTP Request-0,302,Found,Car Testers 1-10,text,true,,836,118,20,20,http://localhost:9292/cars,1055,0,0
1543813273925,737,HTTP Request-1,200,OK,Car Testers 1-10,text,true,,7347,114,20,20,http://localhost:9292/,712,0,0
1543813272901,2336,HTTP Request,200,OK,Car Testers 1-11,text,true,,8177,232,20,20,http://localhost:9292/,1496,0,1
1543813272901,1500,HTTP Request-0,302,Found,Car Testers 1-11,text,true,,828,118,20,20,http://localhost:9292/cars,1496,0,1
1543813274402,835,HTTP Request-1,200,OK,Car Testers 1-11,text,true,,7349,114,20,20,http://localhost:9292/,826,0,0
1543813272952,2551,HTTP Request,200,OK,Car Testers 1-12,text,true,,8183,232,20,20,http://localhost:9292/,1675,0,0
1543813272952,1677,HTTP Request-0,302,Found,Car Testers 1-12,text,true,,844,118,20,20,http://localhost:9292/cars,1675,0,0
1543813274629,874,HTTP Request-1,200,OK,Car Testers 1-12,text,true,,7339,114,20,20,http://localhost:9292/,853,0,0
1543813273002,2566,HTTP Request,200,OK,Car Testers 1-13,text,true,,8195,232,20,20,http://localhost:9292/,1761,0,0
1543813273002,1772,HTTP Request-0,302,Found,Car Testers 1-13,text,true,,844,118,20,20,http://localhost:9292/cars,1761,0,0
1543813274774,794,HTTP Request-1,200,OK,Car Testers 1-13,text,true,,7351,114,20,20,http://localhost:9292/,788,0,0
1543813273051,2521,HTTP Request,200,OK,Car Testers 1-14,text,true,,8189,232,20,20,http://localhost:9292/,1843,0,1
1543813273051,1861,HTTP Request-0,302,Found,Car Testers 1-14,text,true,,834,118,20,20,http://localhost:9292/cars,1843,0,1
1543813274912,660,HTTP Request-1,200,OK,Car Testers 1-14,text,true,,7355,114,20,20,http://localhost:9292/,659,0,0
1543813273102,2538,HTTP Request,200,OK,Car Testers 1-15,text,true,,8197,232,20,20,http://localhost:9292/,1832,0,1
1543813273102,1858,HTTP Request-0,302,Found,Car Testers 1-15,text,true,,838,118,20,20,http://localhost:9292/cars,1832,0,1
1543813274960,680,HTTP Request-1,200,OK,Car Testers 1-15,text,true,,7359,114,20,20,http://localhost:9292/,672,0,0
1543813274538,2187,HTTP Request,200,OK,Car Testers 1-7,text,true,,8201,232,20,20,http://localhost:9292/,1424,0,0
1543813274538,1424,HTTP Request-0,302,Found,Car Testers 1-7,text,true,,848,118,20,20,http://localhost:9292/cars,1424,0,0
1543813275962,763,HTTP Request-1,200,OK,Car Testers 1-7,text,true,,7353,114,20,20,http://localhost:9292/,761,0,0
1543813274301,2430,HTTP Request,200,OK,Car Testers 1-6,text,true,,8195,232,20,20,http://localhost:9292/,1661,0,0
1543813274301,1661,HTTP Request-0,302,Found,Car Testers 1-6,text,true,,844,118,20,20,http://localhost:9292/cars,1661,0,0
1543813275962,769,HTTP Request-1,200,OK,Car Testers 1-6,text,true,,7351,114,20,20,http://localhost:9292/,763,0,0
1543813274627,2111,HTTP Request,200,OK,Car Testers 1-9,text,true,,8195,232,20,20,http://localhost:9292/,1339,0,1
1543813274627,1339,HTTP Request-0,302,Found,Car Testers 1-9,text,true,,840,118,20,20,http://localhost:9292/cars,1339,0,1
